Acrobolbus,顶苞苔属
Cololejeunea truncatifolia,截叶小鳞苔
Cololejeunea verdoornii,佛氏疣鳞苔
Cololejeunea verrucosa,密砂疣鳞苔
Cololejeunea wightii,魏氏疣鳞苔
Cololejeunea yakusimensis,九州疣鳞苔
Cololejeunea yipii,顶边疣鳞苔
Cololejeunea zangii,臧氏疣鳞苔
Colura acroloba,刀形管叶苔
Colura ari,气生管叶苔
Colura conica,尖囊管叶苔
Colura corynephora,异瓣管叶苔
Colura inuii,印氏管叶苔
Colura karstenii,粗管叶苔
Colura tenuicornis,细角管叶苔
Dactylophorella muricata,棘鳞苔
Diplasiolejeunea cavifolia,凹叶双鳞苔
Diplasiolejeunea cobrensis,曲瓣双鳞苔
Diplasiolejeunea rudolphiana,长齿双鳞苔
Drepanolejeunea angustifolia,线角鳞苔
Drepanolejeunea commutata,丛生针鳞苔
Drepanolejeunea dactylophora,粗齿角鳞苔
Drepanolejeunea erecta,日本角鳞苔
Drepanolejeunea fleischeri,费氏针鳞苔
Drepanolejeunea foliicola,叶生针鳞苔
Drepanolejeunea grandis,大角鳞苔
Drepanolejeunea herzogii,赫氏角鳞苔
Drepanolejeunea levicornua,平角角鳞苔
Drepanolejeunea obliqua,斜角角鳞苔
Drepanolejeunea pentadactyla,细角鳞苔
Drepanolejeunea spicata,长角针鳞苔
Drepanolejeunea ternatensis,单齿角鳞苔
Drepanolejeunea thwaitesiana,多油胞角鳞苔
Drepanolejeunea thwaitesiana var. thwaitesiana,多油胞角鳞苔(原变种)
Drepanolejeunea thwaitesiana var. zhengii,郑氏多油胞角鳞苔
Drepanolejeunea tibetana,西藏针鳞苔
Drepanolejeunea tridactyla,南亚角鳞苔
Drepanolejeunea vesiculosa,短叶角鳞苔
Drepanolejeunea yunnanensis,云南针鳞苔
Frullanoides tristis,暗叶拟耳叶苔
Gaolejeunea gaoi,高鳞苔
Gradsteinianthus tridentatus,格氏苔
Harpalejeunea filicuspis,细枝镰叶苔
Lejeunea alata,角萼细鳞苔
Lejeunea anisophylla,狭瓣细鳞苔
Lejeunea apiculata,尖叶狭鳞苔
Lejeunea aquatica,湿生细鳞苔
Lejeunea barbata,多棍细鳞苔
Lejeunea bidentula,双齿细鳞苔
Lejeunea cavifolia,兜叶细鳞苔
Lejeunea chaishanensis,柴山细鳞苔
Lejeunea cocoes,瓣叶细鳞苔
Lejeunea compacta,耳瓣细鳞苔
Lejeunea convexiloba,凹瓣细鳞苔
Lejeunea curviloba,弯叶细鳞苔
Lejeunea discreta,长叶细鳞苔
Lejeunea eifrigii,神山细鳞苔
Lejeunea exilis,织丝苔
Lejeunea flava,黄色细鳞苔
Lejeunea hui,胡氏细鳞苔
Lejeunea infestans,有芽细鳞苔
Lejeunea japonica,日本细鳞苔
Lejeunea kodamae,巨齿细鳞苔
Lejeunea konosensis,科诺细鳞苔
Lejeunea laii,赖氏细鳞苔
